GeneSet	BM448.CG2.LUC.mCherry.no71	BM449.CG2.LUC.mCherry.no75	BM455.CG2.LUC.mCherry.no84	BM462.CG2.LUC.mCherry.no98	BM472.CG2.RAS.mCherry.no77	BM508.CG2.RAS.mCherry.no79	BM522.CG2.RAS.mCherry.no70	BM458.MIC.LUC.mCherry.no102	BM474.MIC.LUC.mCherry.no106	BM485.MIC.LUC.mCherry.no110
Abcc6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Abcc9	0.0	0.0	0.02	0.02	0.01	0.03	0.06	0.05	0.06	0.01
Art2b	0.1	0.0	0.0	0.0	0.0	0.38	0.0	1.58	0.71	0.77
Ghrhr	0.16	0.0	0.32	0.0	0.0	0.21	0.0	0.0	0.05	0.11
Gm20765	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm20767	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mcam	0.67	0.25	0.86	0.35	0.09	0.56	0.29	3.05	0.61	4.47
Vps11	25.56	26.22	22.25	21.31	25.74	26.18	25.67	19.13	20.31	24.35
Mcat	18.6	20.76	15.32	18.33	22.76	14.9	15.84	4.02	8.27	5.98
Ankra2	29.04	30.99	26.62	39.18	31.38	21.35	27.48	11.53	16.92	13.98
Vps16	70.51	101.7	65.92	89.56	92.85	77.57	84.43	55.81	59.14	74.93
Abo	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Abr	21.72	14.82	7.58	16.59	22.54	5.7	11.26	46.48	23.29	54.34
Bcan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Wdhd1	41.43	53.4	57.27	60.53	42.91	52.04	30.73	17.14	27.21	38.02
Bcam	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.07	0.06	0.04
Chic2	27.18	43.91	37.39	41.21	41.58	58.49	41.29	31.6	33.04	47.1
Chic1	0.01	0.04	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.06
T	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm3029	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0
Rrs1	27.61	33.85	31.51	38.79	44.48	30.56	40.61	10.35	24.62	17.36
Gm3020	0.0	0.0	0.0	0.0	0.0	0.01	0.04	0.05	0.35	0.07
Plk5	0.0	0.04	0.04	0.0	0.04	0.1	0.0	0.0	0.0	0.0
Nfe2	141.86	113.98	179.6	145.59	162.89	284.58	131.02	128.88	256.58	253.68
a	3.51	0.0	0.52	13.22	2.22	0.0	0.92	0.12	0.15	0.2
Ace	0.42	0.95	0.16	0.02	0.07	0.84	0.04	14.07	4.73	12.35
Plk3	3.07	1.88	0.4	0.34	7.26	6.85	5.83	3.5	1.71	6.97
Plk4	41.14	54.9	50.15	46.32	46.38	41.74	27.77	19.4	21.06	37.42
Acd	25.08	24.91	21.48	20.77	27.71	25.21	23.3	16.7	18.7	21.92
Gm5662	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Plk1	49.49	57.8	71.38	47.37	50.51	79.55	43.03	16.99	23.33	52.26
Plk2	0.99	1.62	0.62	2.5	11.76	6.52	10.29	1.92	1.99	3.38
Bmpr1a	1.13	0.38	0.59	0.73	0.09	1.8	1.65	0.31	0.29	1.72
Cyb561a3	12.02	17.82	13.32	20.74	28.75	14.78	17.1	37.45	37.1	44.86
Bmpr1b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03
Ell2	52.09	57.5	60.13	71.0	53.72	11.02	53.25	9.96	19.67	15.87
Ell3	0.3	0.15	0.02	0.11	0.16	0.19	0.25	4.06	4.46	2.72
Grpr	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Abca1	16.33	13.64	12.18	12.99	4.79	0.48	7.24	7.21	6.95	4.73
Acr	0.78	0.32	0.05	0.25	0.06	0.13	0.22	0.0	0.28	0.0
Abca2	23.55	21.27	13.33	25.2	53.22	7.77	33.4	11.83	25.89	15.79
Abca5	0.2	1.07	0.66	0.63	1.67	0.77	1.09	0.18	1.16	0.66
Abca6	0.0	0.02	0.01	0.06	0.0	0.09	0.0	0.96	0.35	1.98
Abca3	11.35	3.77	13.93	1.72	1.6	25.7	7.28	12.68	10.56	20.02
Abca4	10.29	3.29	2.75	2.73	1.66	0.34	0.78	0.36	2.79	0.78
Abca9	0.11	0.1	0.05	0.01	0.05	0.04	0.05	5.71	3.54	5.27
Gm3015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Abca7	35.0	38.47	23.05	34.11	44.53	29.0	31.61	28.42	23.27	43.19
Gm3012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ada	8.25	3.82	6.46	3.85	4.35	3.73	8.25	22.91	9.12	20.13
Glcci1	3.01	5.63	2.2	5.42	1.31	6.88	3.78	9.75	7.84	16.71
Pllp	0.15	0.14	0.04	0.0	0.0	0.0	0.0	0.12	0.45	0.2
Rrp12	13.98	12.85	13.44	12.27	18.52	16.12	15.36	4.6	8.56	6.15
Zscan4-ps3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Adk	68.17	66.4	88.82	61.05	52.59	75.11	73.49	14.03	22.17	24.71
Gm20708	5.13	3.35	2.02	4.87	3.37	3.51	0.69	1.99	2.99	5.1
Adm	0.06	0.0	0.0	0.0	0.2	0.0	0.0	0.67	0.2	0.42
RP23-345N8.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rrp15	30.68	29.48	33.41	31.91	44.73	24.77	39.95	10.48	24.59	14.71
Ado	7.65	9.81	7.54	11.91	9.58	7.59	6.81	4.88	7.57	5.82
Chia1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm3047	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Olfr237-ps1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm3045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm3043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Zik1	2.18	4.84	2.88	4.09	5.15	1.06	1.86	0.72	3.51	1.24
Diexf	15.83	15.01	11.32	15.24	21.18	7.53	14.25	7.42	16.36	9.44
Folh1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Nup85	84.64	103.57	112.01	107.75	108.13	131.51	99.81	32.0	53.41	54.9
Lrrc7	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Edrf1	14.49	18.31	15.83	19.02	16.78	17.54	11.14	11.84	12.47	16.87
Lrrc9	0.03	0.0	0.02	0.0	0.02	0.04	0.05	0.0	0.01	0.0
Aen	31.39	38.68	31.93	55.29	63.47	37.87	40.36	10.07	20.85	10.29
Nup88	99.28	120.51	102.23	110.09	107.27	106.13	90.12	44.61	58.61	60.48
Aes	208.9	230.46	178.56	240.24	268.49	168.71	193.83	152.53	135.33	187.85
DXBay18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Diras1	0.0	0.03	0.0	0.0	0.09	0.02	0.0	0.0	0.0	0.0
Diras2	2.16	2.54	1.02	0.46	11.46	0.61	0.81	1.05	1.21	1.26
Irak1bp1	0.77	1.06	1.05	1.44	0.66	0.14	0.66	0.22	0.64	0.22
Gm3033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0
1700022I11Rik	0.42	0.0	0.63	0.85	1.11	0.45	1.1	0.11	0.42	0.33
Lrrd1	0.0	0.0	0.0	0.03	0.0	0.02	0.0	0.05	0.11	0.02
Nup93	44.34	56.14	48.7	54.05	58.03	57.5	55.66	15.06	25.4	25.22
Doxl2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm3072	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lmbr1	0.48	1.73	1.16	1.69	3.06	0.56	1.17	0.49	1.48	1.21
Gm20721	11.48	11.0	7.71	9.38	14.34	9.71	15.69	7.46	8.94	6.86
Bglap	0.0	0.0	0.0	0.25	0.24	0.43	0.0	0.0	0.25	0.17
Gm20726	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.0	0.0	0.0
Ctla4	0.13	0.33	0.0	0.0	0.49	2.45	0.98	1.5	1.03	0.89
C530008M17Rik	29.18	36.53	28.53	45.82	24.86	25.51	12.04	1.57	7.28	11.13
Ep300	54.34	47.37	45.44	61.97	40.55	44.18	30.52	48.44	42.41	66.61
Gemin6	11.35	11.42	19.95	15.28	16.48	22.95	15.1	3.82	7.51	7.7
Afm	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0
Gemin7	52.07	51.64	52.23	50.9	47.83	48.94	46.59	42.06	36.33	51.34
Rrp36	21.56	28.85	15.93	26.82	31.16	18.7	21.96	14.37	16.24	14.49
Gemin4	6.33	10.48	12.93	15.39	16.35	9.45	12.09	4.19	8.58	4.35
Afp	0.08	0.05	0.0	0.04	0.0	0.13	0.71	0.64	3.32	0.44
Nup98	46.98	52.18	44.43	47.39	42.43	36.25	42.85	22.44	27.5	32.7
Gemin5	19.8	15.27	19.43	18.29	24.74	19.95	19.33	5.25	11.86	8.6
Gemin8	11.0	12.13	14.4	19.36	18.76	11.94	16.47	4.18	6.61	4.78
Tbccd1	7.5	10.32	10.5	12.87	14.51	22.24	10.62	6.49	9.19	11.87
Nfib	0.01	0.07	0.04	1.08	0.0	0.45	0.03	0.0	0.11	0.0
Nfia	25.65	37.59	25.75	41.67	16.64	29.39	19.64	1.25	2.46	4.34
Acvrl1	3.31	1.91	0.58	0.25	0.33	0.96	2.3	18.71	4.72	21.68
Nfic	19.55	92.82	34.01	82.34	106.07	16.07	22.76	17.3	8.42	23.22
Lrrc3	0.04	0.0	0.0	0.04	0.0	0.03	0.0	0.04	0.0	0.01
4930578G10Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rrp1b	34.74	26.93	19.62	31.36	35.67	24.35	36.37	13.26	22.98	18.1
Zim1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fosb	87.86	421.22	1.59	19.72	629.44	146.43	161.64	24.94	22.17	21.65
Lrrc4	0.0	0.0	0.02	0.07	0.18	0.0	0.0	0.0	0.0	0.0
Aga	17.24	21.07	16.69	25.78	28.76	15.25	22.3	6.77	10.85	8.76
Lrrc6	0.04	0.09	0.04	0.0	0.0	0.0	0.0	0.36	0.03	0.24
Lrrc1	2.26	4.3	3.5	3.8	5.07	3.09	5.24	3.03	8.87	4.65
Lrrc2	4.12	5.95	4.36	5.41	2.84	3.26	5.36	0.23	0.46	0.0
Ankrd9	11.1	4.73	15.48	4.55	2.49	33.05	5.15	3.7	7.23	10.65
Agk	15.05	21.32	16.23	23.31	24.68	11.54	16.74	4.52	12.81	8.02
Tex19.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tex19.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mcf2	0.0	0.03	0.1	0.0	0.02	0.0	0.0	0.0	0.06	0.02
Agl	18.59	15.47	13.73	17.75	19.71	11.25	21.22	18.65	11.86	24.17
Elp2	45.87	52.22	48.37	54.81	85.47	36.64	51.5	19.31	42.27	27.18
Ankrd2	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0
Scand1	50.38	47.46	45.55	53.11	57.63	48.72	45.32	46.1	38.69	59.7
Ankrd1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Elp4	9.98	18.87	14.33	17.22	15.31	15.05	14.21	2.45	6.88	5.78
Elp3	30.92	39.15	32.4	41.76	54.03	28.39	37.68	11.42	27.56	16.44
Ankrd7	0.0	0.08	0.0	0.08	0.0	0.11	0.07	0.0	0.0	0.06
Pdzrn4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Elp6	7.42	9.51	8.48	8.8	13.46	8.22	8.93	2.64	3.5	4.47
Elp5	49.74	51.24	52.32	47.14	54.38	77.52	49.94	16.83	29.87	28.06
Ankrd6	19.78	18.31	13.45	33.39	9.71	5.36	12.87	1.04	0.51	0.68
Agt	0.0	0.0	0.0	0.29	0.0	0.0	0.0	0.08	0.04	0.0
Pdzrn3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0
Mcee	29.62	33.55	31.67	39.24	45.65	23.53	27.11	31.86	30.88	41.78
Cyp21a1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gemin2	21.26	30.78	21.35	30.76	29.72	22.15	23.44	6.67	13.93	10.13
Eloa	43.6	41.7	41.18	40.03	37.46	48.71	37.63	34.8	36.18	50.75
Plp2	116.02	26.9	64.8	45.48	28.81	79.6	72.52	241.06	97.48	319.56
Eloc	170.76	195.28	262.16	200.64	177.12	251.7	205.6	81.68	102.38	116.85
Plp1	1.36	1.59	0.82	2.82	3.06	0.95	0.52	0.84	1.11	0.17
Elob	267.0	235.6	278.63	221.62	216.95	277.76	253.83	144.81	174.41	208.64
Gm3055	0.24	0.15	0.96	0.12	0.0	0.1	0.73	0.75	0.54	0.69
Atxn3	18.95	40.4	28.21	34.62	41.88	23.24	17.73	15.04	23.34	21.06
Bche	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Atxn1	3.46	6.25	3.18	5.22	7.92	0.7	3.17	1.48	2.02	1.77
Atxn2	23.78	23.67	31.16	36.46	30.03	33.47	29.83	15.9	30.16	27.59
Atxn7	9.0	13.82	7.3	14.73	15.45	6.33	7.87	8.88	9.37	11.59
Ripply2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm17174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ripply3	0.11	0.19	0.51	0.06	0.12	12.97	1.47	0.11	0.0	0.13
Gm17175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rimbp2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rimbp3	0.0	0.05	0.03	0.17	0.24	0.23	0.17	0.01	0.21	0.07
Ripply1	0.11	0.0	0.1	0.0	0.0	0.08	0.11	0.0	0.0	0.0
Ahr	3.28	0.16	1.72	0.58	0.06	2.86	7.29	2.09	1.88	1.65
Hist1h3d	2.64	2.39	2.81	3.07	11.32	1.31	1.04	2.96	3.32	3.34
2010106E10Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fam58b	28.54	35.38	32.73	30.93	30.97	22.47	32.79	7.76	11.09	9.59
Hist1h3e	1.59	1.69	1.76	1.99	4.37	2.39	3.33	2.39	2.99	2.94
Hist1h3b	2.87	1.14	0.87	1.83	1.09	1.29	0.4	0.21	0.24	1.66
Hist1h3c	7.59	5.59	8.37	5.42	6.18	7.03	5.68	2.19	1.59	5.33
Hist1h3h	1.58	2.08	1.86	0.73	0.05	3.79	3.65	0.69	0.0	1.29
Hist1h3i	2.43	5.43	4.46	4.27	6.68	4.67	6.4	1.22	1.24	1.68
B020004J07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hist1h3f	1.14	2.46	0.89	1.02	5.07	1.13	1.01	1.01	0.83	2.09
Hist1h3g	3.71	0.72	0.66	1.54	3.43	2.05	1.7	0.0	1.48	2.11
Pls3	2.65	7.79	2.85	13.55	6.24	0.16	4.15	0.58	1.55	1.09
Oip5	30.18	33.67	52.98	33.51	22.73	39.88	15.81	5.28	11.24	15.77
Pls1	4.88	10.93	2.43	1.08	2.29	6.55	13.99	0.11	55.55	1.06
Hist1h3a	4.06	6.11	2.23	6.34	2.78	4.36	3.19	0.31	2.38	1.89
Nfix	25.36	34.86	25.25	38.38	43.8	21.19	25.48	4.76	20.05	9.43
Mtrf1	6.38	12.16	6.99	9.82	14.92	4.93	7.17	2.51	5.41	3.76
Ak1	3.81	8.31	1.87	6.13	27.54	2.35	6.2	0.03	5.61	0.49
Dio1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09
Dio2	0.84	0.05	0.31	0.02	0.08	0.01	0.07	0.93	0.24	3.36
Ak3	58.03	121.03	78.72	131.2	145.07	56.3	97.62	15.74	36.12	22.76
Cfl1	987.65	943.94	827.27	789.37	1119.67	812.22	1228.91	904.58	762.6	1116.2
Aip	50.44	47.6	45.08	55.84	53.96	46.44	59.42	65.64	52.72	75.3
Ak2	146.97	130.78	136.62	130.11	102.1	158.11	168.99	76.4	95.17	106.18
Cfl2	8.25	8.45	5.87	9.45	7.42	7.2	3.86	4.97	6.3	5.9
Dio3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ak5	0.1	0.22	0.24	0.98	0.16	0.02	0.0	0.0	0.0	0.0
Ak4	0.75	1.9	0.62	0.53	2.31	1.0	1.66	1.15	5.12	2.46
Ak7	0.26	0.69	0.22	0.76	0.03	0.02	0.05	0.0	0.18	0.06
Ak6	160.71	214.71	208.52	168.6	206.75	184.35	187.89	58.87	87.78	92.45
Ak9	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.01	0.01
Ak8	6.59	1.47	1.78	5.08	0.64	0.16	3.08	2.27	0.84	2.57
Fam57a	1.12	1.7	1.16	3.58	3.68	1.05	2.54	1.21	2.0	1.35
Fam57b	2.23	0.77	0.32	0.38	0.79	0.31	0.17	0.0	0.0	0.0
Thg1l	18.58	20.92	20.67	19.69	23.85	15.25	17.02	4.58	11.37	7.06
6430571L13Rik	1.89	0.54	0.12	0.6	0.34	0.1	0.81	0.06	0.34	0.17
Porcn	0.22	0.21	0.06	0.1	0.75	0.33	0.19	0.0	0.34	0.03
Cnot11	23.08	24.57	21.69	24.69	22.65	21.19	18.71	11.62	15.81	14.5
Hist1h1t	0.0	0.28	0.0	0.0	1.2	0.09	0.61	0.0	0.0	0.0
Eif4ebp2	110.22	111.55	90.92	98.98	88.63	80.02	95.94	57.17	66.02	76.73
Eif4ebp1	62.15	22.78	54.72	18.38	30.52	44.2	21.18	33.54	40.7	50.38
Gm6902	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eif4ebp3	8.74	12.65	9.78	10.97	10.92	9.75	10.73	8.08	6.02	10.27
Gm6904	0.25	0.0	0.09	0.0	0.0	0.41	0.0	0.29	0.63	0.52
Hist1h1b	9.67	10.92	7.24	10.29	8.75	15.75	13.84	2.02	3.19	4.14
Hist1h1c	39.67	106.74	24.05	33.0	191.57	153.68	97.3	73.35	57.59	92.44
Hist1h1a	7.61	5.97	4.34	5.84	6.78	7.24	11.69	1.56	0.82	2.39
Hist1h1d	11.17	9.12	5.63	14.96	10.35	15.34	17.57	5.67	5.44	7.96
Hist1h1e	13.43	11.47	11.52	12.14	7.77	20.68	18.63	7.74	6.34	13.37
Angel2	47.34	52.64	38.45	57.31	59.1	28.29	41.28	26.22	30.02	30.88
Angel1	1.4	2.15	1.14	2.99	2.04	1.27	0.75	0.99	3.71	2.14
Cnot10	23.37	33.09	25.84	29.61	35.63	32.61	32.86	19.26	20.97	24.17
Vsig10	5.76	9.91	4.27	11.68	1.92	12.52	13.56	1.54	0.49	1.98
V1rd19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mcl1	107.86	110.87	78.1	84.95	128.64	105.69	129.7	160.65	129.18	232.88
Bcl9	1.69	0.95	0.54	0.55	1.35	1.03	3.08	5.74	8.39	5.45
Bcl6	5.21	3.41	1.92	1.69	1.67	2.35	2.42	24.25	9.12	26.25
Alb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bcl3	1.97	1.5	1.68	0.5	1.55	1.5	3.77	16.16	10.08	14.47
Bcl2	3.66	15.1	7.44	14.28	60.04	2.13	8.62	9.45	16.4	8.51
Gm17190	0.0	0.0	0.1	0.0	0.0	0.08	0.0	0.14	0.18	0.0
Tsen2	5.7	5.16	7.87	10.11	9.77	7.42	10.64	2.35	4.36	1.83
Pdlim3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.02	0.0
Pdlim2	3.73	0.95	2.6	0.26	0.35	1.32	1.02	27.58	14.73	31.38
Alk	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pdlim1	186.49	159.16	195.38	159.6	228.01	69.29	148.62	54.97	42.72	58.67
Vps72	54.07	66.23	49.07	56.56	65.6	50.12	50.5	26.25	36.28	31.33
Mcm7	235.97	285.85	277.45	269.51	223.47	244.34	208.81	83.97	144.87	171.85
Mcm8	7.83	7.76	11.42	13.24	10.52	8.21	7.61	2.95	6.29	4.62
Mcm9	12.34	13.69	9.13	13.81	12.06	7.83	8.18	5.97	8.24	7.79
Gm4301	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tnks1bp1	4.63	3.09	3.59	3.3	2.08	2.92	8.39	8.56	5.54	7.95
Gm4302	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Birc3	28.92	35.66	15.26	17.68	34.18	18.73	35.61	81.68	61.12	81.62
Gm4303	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Birc2	35.41	53.89	38.11	58.59	65.19	27.72	32.31	17.02	24.73	22.17
Gm4305	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pdlim7	8.8	7.13	4.09	4.57	14.84	28.83	15.1	12.61	14.85	23.16
Birc7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm4307	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pcdhac1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Birc6	46.2	45.51	44.21	58.99	54.37	34.82	45.78	44.08	49.08	45.63
Pcdhac2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Birc5	165.1	190.57	227.64	149.99	132.02	250.12	128.07	55.99	89.45	182.38
Pdlim5	17.56	38.93	16.15	22.82	25.26	15.73	18.43	23.33	9.82	23.11
